Date,Actual,Forecast,Uncertainty_Std
2019-07-23,0.049658245874108,0.047090814,0.0079354495
2019-07-24,0.0395706750777621,0.04700912,0.0065859132
2019-07-25,0.043402613814207,0.04299712,0.0076052356
2019-07-26,0.0460346153637542,0.043588005,0.009099696
2019-07-29,0.0452894523930588,0.04214246,0.0072863894
2019-07-30,0.0424795898449781,0.043742385,0.0080108475
2019-07-31,0.0536075420080429,0.04312886,0.00788181
2019-08-01,0.0547337304114025,0.049018487,0.008419308
2019-08-02,0.0580539967995867,0.065511525,0.009549109
2019-08-05,0.1087440055764084,0.08363832,0.011469498
2019-08-06,0.1192862938736296,0.1176105,0.013093792
2019-08-07,0.1176985613332199,0.13192292,0.011917833
2019-08-08,0.1354982484377556,0.14013167,0.016191846
2019-08-09,0.1351965977090879,0.14427611,0.014578344
2019-08-12,0.1397302451146012,0.14896628,0.01298905
2019-08-13,0.1512102763612677,0.15926555,0.011078545
2019-08-14,0.1791319005438285,0.1609256,0.013847267
2019-08-15,0.1787055931581051,0.18123646,0.017167443
2019-08-16,0.1871921989887325,0.19287764,0.016700683
2019-08-19,0.1924773036826391,0.19608198,0.016602727
2019-08-20,0.1916598562559633,0.20030418,0.0184588
2019-08-21,0.1935345466326486,0.20549923,0.018208921
2019-08-22,0.1930975408503444,0.20312673,0.022638446
2019-08-23,0.2084697294859357,0.20629619,0.019398864
2019-08-26,0.2140476142534907,0.21942955,0.021479873
2019-08-27,0.2140648482177228,0.22096615,0.020750687
2019-08-28,0.213858310566483,0.22353362,0.02172636
2019-08-29,0.2174684632268321,0.21154198,0.021238886
2019-08-30,0.2160444939628165,0.20880175,0.019821348
2019-09-03,0.188249730023345,0.19774343,0.02099759
2019-09-04,0.1866957264156749,0.18857281,0.014770692
2019-09-05,0.1911904395501581,0.18502365,0.014554534
2019-09-06,0.1809630214145267,0.17963074,0.016440468
2019-09-09,0.1790588606776743,0.17826645,0.01747822
2019-09-10,0.1724636893454955,0.1666124,0.012813962
2019-09-11,0.16699439836262,0.15897737,0.012999072
2019-09-12,0.1256236637862579,0.14669043,0.011224257
2019-09-13,0.1261941594683253,0.13415343,0.011197256
2019-09-16,0.1208000701303158,0.12973765,0.010605505
2019-09-17,0.1155911031682659,0.12599672,0.009200161
2019-09-18,0.1111179051287643,0.11688303,0.009145815
2019-09-19,0.1090023196084421,0.10591198,0.00998433
2019-09-20,0.1107996570628841,0.09737965,0.008514677
2019-09-23,0.0628500178373715,0.08209298,0.009358065
2019-09-24,0.065056329782005,0.06912345,0.008737081
2019-09-25,0.064670368524141,0.063178465,0.008614701
2019-09-26,0.0642780997976286,0.061933104,0.007709783
2019-09-27,0.0571537326855071,0.056114793,0.0074227285
2019-09-30,0.0586273863411508,0.055973835,0.007548533
2019-10-01,0.0671267334028341,0.052896164,0.006960709
2019-10-02,0.080891023087573,0.05611592,0.007696368
2019-10-03,0.0733479917410876,0.066532746,0.009000079
2019-10-04,0.0874473302096622,0.07630912,0.008544057
2019-10-07,0.0883665644612207,0.08719964,0.009397061
2019-10-08,0.1005051618041476,0.09365289,0.010349733
2019-10-09,0.1024388615378523,0.10446493,0.010541402
2019-10-10,0.1046736728207566,0.11140092,0.007909884
2019-10-11,0.111874849113373,0.11512051,0.008942066
2019-10-14,0.1115756949016017,0.11769795,0.010062215
2019-10-15,0.1163896985974499,0.12464575,0.009933997
2019-10-16,0.116528450022119,0.12747535,0.009795982
2019-10-17,0.1169585803841555,0.13291006,0.0101243025
2019-10-18,0.1165466318508537,0.13184427,0.011404558
2019-10-21,0.1187753737319564,0.13235043,0.009689988
2019-10-22,0.1157395498761585,0.12868045,0.009844975
2019-10-23,0.1144087685821013,0.12794892,0.00934463
2019-10-24,0.1141086968525642,0.12622663,0.011169168
2019-10-25,0.1127805753749628,0.12073433,0.009838507
2019-10-28,0.1130082313839751,0.11322169,0.009495972
2019-10-29,0.1035786910739777,0.10167826,0.010093922
2019-10-30,0.0796870204704006,0.09347809,0.009848469
2019-10-31,0.0796188332547313,0.07967203,0.008612084
2019-11-01,0.073724471919885,0.06956375,0.009644139
2019-11-04,0.0708803806553326,0.06113758,0.008840879
2019-11-05,0.0451278183581481,0.052247144,0.0071448656
2019-11-06,0.0418832311446004,0.04442924,0.00804791
2019-11-07,0.0404306481377952,0.03750665,0.008119236
2019-11-08,0.0326702001307805,0.031854864,0.009470574
2019-11-11,0.0331359277608921,0.028336953,0.01015565
2019-11-12,0.0255171594423504,0.024517946,0.012053118
2019-11-13,0.02396701479637,0.025227677,0.012290105
2019-11-14,0.0239036244107866,0.02131846,0.012413933
2019-11-15,0.0237873975817066,0.021528805,0.012383277
2019-11-18,0.0210973554315121,0.021873858,0.010421455
2019-11-19,0.0178009204882035,0.020702658,0.010315473
2019-11-20,0.0219708528322018,0.020049503,0.008782293
2019-11-21,0.0232794096017938,0.024103478,0.010773909
2019-11-22,0.0224809162398802,0.020322474,0.009572924
2019-11-25,0.0249290077083656,0.02217536,0.0105591845
2019-11-26,0.0242318842908495,0.022439709,0.011896515
2019-11-27,0.0246928927696137,0.02506119,0.008724905
